2,High,Low,Open,Close,Volume
2024-09-16,6888888888,6800000000,6800000000,6888888888,2.0
2024-09-17,6866600000,6800000000,6800000000,6866000000,4.0
2024-09-18,6988888888,6900000000,6900000000,6988888888,10.0
2024-09-19,6988888886,6888888888,6977777777,6888888888,13.0
2024-09-20,6966666663,6777777776,6966666663,6800000000,10.0
2024-09-21,6777777777,6000000000,6777777777,6600000000,6.0
2024-09-22,6666655550,6666655550,6666655550,6666655550,1.0
2024-09-23,6580000121,6499999999,6500000000,6566666666,9.0
2024-09-24,6588888879,6500000000,6522222222,6586666666,5.0
2024-09-25,6588888888,6488888888,6588888880,6555500000,6.0
2024-09-26,6588888888,6555555555,6555555555,6588888888,6.0
2024-09-27,6588888888,6379999999,6588888888,6388888888,8.0
2024-09-28,6555555555,5888888888,6333333333,6555555555,10.0
2024-09-29,6666666666,6111111111,6544444444,6666666666,10.0
2024-09-30,6780000000,6666666666,6666666666,6780000000,3.0
2024-10-01,6799999999,6666666665,6750000000,6799999999,7.0
2024-10-02,6849999999,6849999999,6849999999,6849999999,1.0
2024-10-03,6999999998,6800000000,6800000000,6949999999,11.0
2024-10-04,6800000000,6633333333,6633333333,6666666666,3.0
2024-10-05,6766666554,6655500000,6766666554,6655500000,3.0
2024-10-06,6666666666,6500000000,6599999999,6650000000,12.0
2024-10-07,6666666664,6588888888,6590000000,6665555555,7.0
2024-10-08,6766666654,6666660066,6666660066,6755555555,8.0
2024-10-09,6999999997,6700000000,6700000000,6888888887,9.0
2024-10-10,6980000000,6866666666,6877700000,6866666666,8.0
2024-10-11,6788888888,6500000000,6500000000,6699999999,6.0
2024-10-12,6777777777,6588888888,6710000000,6655555555,7.0
2024-10-13,6660000000,6444444444,6660000000,6477777777,5.0
2024-10-14,6655555555,6466666665,6466666665,6655555555,12.0
2024-10-15,6666666666,6666555555,6666555555,6666666666,9.0
2024-10-16,6750000000,6666666665,6666666666,6750000000,8.0
2024-10-17,6799000000,6555555555,6777777777,6555555555,12.0
2024-10-18,6555555555,6433333333,6553888888,6444444444,8.0
2024-10-19,6500000000,6399999999,6488888888,6499999999,12.0
2024-10-20,6500000000,6399999999,6488888888,6500000000,9.0
2024-10-21,6555555555,6488888888,6555555555,6488888888,7.0
2024-10-22,6888888888,6550000000,6550000000,6888888888,4.0
2024-10-23,6777777777,6766666666,6776666655,6777777777,5.0
2024-10-24,6888787888,6500000000,6888787777,6500000000,6.0
2024-10-25,6440000000,5999999888,6359999999,6333333333,10.0
2024-10-26,6438888888,6222222222,6222222222,6438888888,7.0
2024-10-27,6888888887,6440000000,6440000000,6888888887,7.0
2024-10-28,6777000000,6499999999,6500000000,6777000000,7.0
2024-10-29,7999999998,6777774444,6777774444,7999999998,13.0
2024-10-30,7499999999,6999999999,7000000000,6999999999,6.0
2024-10-31,7988888888,7488888888,7500000000,7899999998,8.0
2024-11-01,7898888887,7222222221,7222222221,7777777777,9.0
2024-11-02,7755555555,7555555555,7555555555,7755555555,6.0
2024-11-06,7388888887,7200000000,7200000000,7388888887,7.0
2024-11-07,7199999999,6888888888,7100000000,6993333333,7.0
2024-11-08,6888888888,6666666666,6888000000,6777777777,8.0
2024-11-09,6700000000,5999999999,6699999999,5999999999,6.0
2024-11-10,6599888888,6400000000,6400000000,6444433333,4.0
2024-11-11,6500000000,6200000000,6444444444,6300000000,10.0
2024-11-12,6600000000,6333333333,6533333332,6555555555,17.0
2024-11-13,6699000000,6499999999,6544444444,6699000000,7.0
2024-11-14,6950000000,6666666666,6877777777,6666666666,10.0
2024-11-15,6744333333,6499999999,6555555555,6744333333,10.0
2024-11-16,6888888888,6666666000,6666666666,6666666666,9.0
2024-11-17,6766666665,6645654564,6766666600,6666666666,5.0
2025-01-09,7799999995,7399999999,7799999995,7399999999,4.0
2025-01-10,6888888886,6000000000,6666666666,6477777777,13.0
2025-01-11,6332999999,6100000000,6111111111,6290000000,13.0
2025-01-12,6299999985,5999999999,6255555555,6211111111,8.0
2025-01-13,6199999999,6000000000,6177777777,6100000000,9.0
2025-01-14,6100000000,6100000000,6100000000,6100000000,1.0
2025-01-15,6099999999,5998888888,6099999999,5998888888,4.0
2025-01-16,5855555555,5788888888,5855555555,5788888888,2.0
2025-01-17,5699999999,5432111110,5655555555,5432111110,9.0
2025-01-18,5432111111,4999999999,5432111111,5100000000,13.0
2025-01-19,5108777777,4900000000,5107777777,5088888888,6.0
2025-01-20,5088888888,4988888888,5088888888,4988888888,9.0
2025-01-21,5333333333,4999999999,4999999999,5333333333,10.0
